"","probe_id","plot_id","start_date","start_time","end_date","end_time","lat","lon","org_layer","excess_length","probe_length","land_use","time_res","treatment"
"1","S01_001","P0150","13.11.2021","00:00","02.12.2021","23:59",50.09995,11.844265,0,0,90,"meadow",30,"weekly"
"2","S01_002","P0151","04.12.2021","00:00","09.12.2021","23:59",50.208507,11.839507,0,0,90,"meadow",30,"weekly"
"3","S01_003","P0153","11.12.2021","00:00","19.12.2021","23:59",50.087048,11.848669,0,0,90,"meadow",30,"weekly"
"4","S01_004","P0152","24.12.2021","00:00","16.01.2022","23:59",50.211893,11.887627,0,18,90,"meadow",30,"weekly"
"5","S01_005","P0154","23.01.2022","00:00","03.02.2022","23:59",50.223933,11.823274,0,3,90,"meadow",10,"weekly"
"6","S01_006","P0155","05.02.2022","00:00","06.02.2022","23:59",50.129343,11.80835,0,0,90,"meadow",10,"weekly"
"7","S01_007","P0156","11.02.2022","00:00","13.02.2022","23:59",50.073714,11.95415,0,40,90,"meadow",10,"weekly"
"8","S01_008","P0107","15.02.2022","00:00","20.02.2022","23:59",50.182029,11.740807,0,20,90,"arable_land",10,"weekly"
"9","S01_009","P0108","01.03.2022","00:00","03.03.2022","23:59",50.147609,11.942739,0,36,90,"arable_land",10,"weekly"
"10","S01_010","P0109","05.03.2022","00:00","07.03.2022","23:59",50.120788,11.753815,0,3,90,"arable_land",10,"weekly"
"11","S01_011","P0110","09.03.2022","00:00","17.03.2022","23:59",50.16101,11.768444,0,0,90,"arable_land",10,"weekly"
"12","S01_012","P0111","19.03.2022","00:00","31.03.2022","23:59",50.217783,11.964358,0,35,90,"arable_land",10,"weekly"
"13","S01_013","P0112","06.04.2022","00:00","06.04.2022","23:59",50.132085,11.949778,0,0,90,"arable_land",10,"weekly"
"15","S01_015","P0104","09.04.2022","00:00","24.04.2022","23:59",50.105065,11.922489,0,20,90,"arable_land",10,"weekly"
"16","S01_016","P0103","26.04.2022","00:00","04.05.2022","23:59",50.09851,11.797039,0,14,90,"arable_land",10,"weekly"
"17","S01_017","P0105","06.05.2022","00:00","11.05.2022","23:59",50.176334,11.840065,0,0,90,"arable_land",10,"weekly"
"18","S01_018","P0114","13.05.2022","00:00","18.05.2022","23:59",50.214121,11.773766,0,3,90,"arable_land",10,"weekly"
"19","S01_019","P0115","20.05.2022","00:00","31.05.2022","23:59",50.09335,11.853674,0,20,90,"arable_land",10,"weekly"
"20","S01_020","P0116","02.06.2022","00:00","14.06.2022","23:59",50.082306,11.956222,0,30,90,"arable_land",10,"weekly"
"21","S01_021","P0117","16.06.2022","00:00","20.06.2022","23:59",50.122634,11.928277,0,60,90,"arable_land",10,"weekly"
"22","S01_022","P0104","22.06.2022","00:00","03.07.2022","23:59",50.105065,11.922489,0,50,90,"arable_land",10,"weekly"
"23","S01_023","P0103","05.07.2022","00:00","06.07.2022","23:59",50.09851,11.797039,0,70,90,"arable_land",10,"weekly"
"24","S01_024","P0118","08.07.2022","00:00","21.07.2022","23:59",50.228806,11.924917,0,0,90,"arable_land",10,"weekly"
"25","S07_001","P0100","25.11.2021","00:00","01.12.2021","23:59",50.208308,11.747134,0,0,90,"arable_land",30,"weekly"
"26","S07_002","P0101","03.12.2021","00:00","08.12.2021","23:59",50.108694,11.855194,0,0,90,"arable_land",30,"weekly"
"27","S07_003","P0102","10.12.2021","00:00","16.12.2021","23:59",50.211895,11.887717,0,0,90,"arable_land",30,"weekly"
"28","S07_004","P0103","24.12.2021","00:00","13.01.2022","23:59",50.09851,11.797039,0,10,90,"arable_land",30,"weekly"
"29","S07_005","P0104","15.01.2022","00:00","20.01.2022","23:59",50.105065,11.922489,0,32,90,"arable_land",10,"weekly"
"30","S07_006","P0105","22.01.2022","00:00","27.01.2022","23:59",50.176334,11.840065,0,17,90,"arable_land",10,"weekly"
"31","S07_007","P0106","29.01.2022","00:00","10.02.2022","23:59",50.120369,11.992307,0,3,90,"arable_land",10,"weekly"
"32","S07_008","P0157","12.02.2022","00:00","06.03.2022","23:59",50.093766,11.800191,0,5,90,"meadow",10,"weekly"
"33","S07_009","P0158","09.03.2022","00:00","13.03.2022","23:59",50.208789,11.92656,0,30,90,"meadow",10,"weekly"
"34","S07_010","P0159","15.03.2022","00:00","20.03.2022","23:59",50.220365,11.838654,0,0,90,"meadow",10,"weekly"
"35","S07_011","P0160","22.03.2022","00:00","24.03.2022","23:59",50.074263,11.966563,0,27,90,"meadow",10,"weekly"
"36","S07_012","P0161","26.03.2022","00:00","27.03.2022","23:59",50.119883,11.952959,0,17,90,"meadow",10,"weekly"
"37","S07_013","P0162","29.03.2022","00:00","03.04.2022","23:59",50.174333,11.894972,0,30,90,"meadow",10,"weekly"
"38","S07_014","P0156","05.04.2022","00:00","25.04.2022","23:59",50.073714,11.95415,0,60,90,"meadow",10,"weekly"
